Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Harry;I didn't mean to offend you, or anything.;['i', 'did', 'mean', 'to', 'offend', 'you', 'or', 'anything'];['i', 'did', 'mean', 'to', 'offend', 'you', 'or', 'anything'];['mean', 'offend', 'anything']
Dobby;Offend Dobby? ;['offend', 'dobby'];['offend', 'dobby'];['offend', 'dobby']
Dobby;Dobby has heard of your greatness, sir, but never has he been asked to sit down by a wizard, like an equal.;['dobby', 'has', 'heard', 'of', 'your', 'greatness', 'sir', 'but', 'never', 'has', 'he', 'been', 'asked', 'to', 'sit', 'down', 'by', 'a', 'wizard', 'like', 'an', 'equal'];['dobby', 'ha', 'heard', 'of', 'your', 'greatness', 'sir', 'but', 'never', 'ha', 'he', 'been', 'asked', 'to', 'sit', 'down', 'by', 'a', 'wizard', 'like', 'an', 'equal'];['dobby', 'heard', 'greatness', 'sir', 'never', 'asked', 'sit', 'wizard', 'like', 'equal']
Harry;You can't have met many decent wizards then.;['you', 'ca', 'have', 'met', 'many', 'decent', 'wizards', 'then'];['you', 'ca', 'have', 'met', 'many', 'decent', 'wizard', 'then'];['ca', 'met', 'many', 'decent', 'wizard']
Dobby;No, I haven't. ;['no', 'i', 'have'];['no', 'i', 'have'];[]
Dobby;That was an awful thing to say. ;['that', 'was', 'an', 'awful', 'thing', 'to', 'say'];['that', 'wa', 'an', 'awful', 'thing', 'to', 'say'];['awful', 'thing', 'say']
Dobby;Bad Dobby!;['bad', 'dobby'];['bad', 'dobby'];['bad', 'dobby']
Harry;Stop, Dobby!;['stop', 'dobby'];['stop', 'dobby'];['stop', 'dobby']
Dobby;Bad Dobby!;['bad', 'dobby'];['bad', 'dobby'];['bad', 'dobby']
Harry;Dobby, shh!;['dobby', 'shh'];['dobby', 'shh'];['dobby', 'shh']
Dobby;Baaad Dobby!;['baaad', 'dobby'];['baaad', 'dobby'];['baaad', 'dobby']
Harry;Dobby, please stop!;['dobby', 'please', 'stop'];['dobby', 'please', 'stop'];['dobby', 'please', 'stop']
Uncle Vernon;Ohh, don't mind that! ;['ohh', 'do', 'mind', 'that'];['ohh', 'do', 'mind', 'that'];['ohh', 'mind']
Uncle Vernon;It's just the cat.;['it', 'just', 'the', 'cat'];['it', 'just', 'the', 'cat'];['cat']
Dobby;Bad Dobby. ;['bad', 'dobby'];['bad', 'dobby'];['bad', 'dobby']
Dobby;Bad Dobby!;['bad', 'dobby'];['bad', 'dobby'];['bad', 'dobby']
Harry;Stop! Stop, Dobby. ;['stop', 'stop', 'dobby'];['stop', 'stop', 'dobby'];['stop', 'stop', 'dobby']
Harry;Please be quiet! ;['please', 'be', 'quiet'];['please', 'be', 'quiet'];['please', 'quiet']
Harry;Are you all right?;['are', 'you', 'all', 'right'];['are', 'you', 'all', 'right'];['right']
Dobby;Dobby had to punish himself, sir. ;['dobby', 'had', 'to', 'punish', 'himself', 'sir'];['dobby', 'had', 'to', 'punish', 'himself', 'sir'];['dobby', 'punish', 'sir']
Dobby;Dobby almost spoke ill of his family, sir.;['dobby', 'almost', 'spoke', 'ill', 'of', 'his', 'family', 'sir'];['dobby', 'almost', 'spoke', 'ill', 'of', 'his', 'family', 'sir'];['dobby', 'almost', 'spoke', 'ill', 'family', 'sir']
Harry;Your family?;['your', 'family'];['your', 'family'];['family']
Dobby;The wizard family Dobby serves, sir. ;['the', 'wizard', 'family', 'dobby', 'serves', 'sir'];['the', 'wizard', 'family', 'dobby', 'serf', 'sir'];['wizard', 'family', 'dobby', 'serf', 'sir']
Dobby;Dobby is bound to serve one family forever. ;['dobby', 'is', 'bound', 'to', 'serve', 'one', 'family', 'forever'];['dobby', 'is', 'bound', 'to', 'serve', 'one', 'family', 'forever'];['dobby', 'bound', 'serve', 'one', 'family', 'forever']
Dobby;If they ever knew Dobby was here...ooh... ;['if', 'they', 'ever', 'knew', 'dobby', 'was', 'here', 'ooh'];['if', 'they', 'ever', 'knew', 'dobby', 'wa', 'here', 'ooh'];['ever', 'knew', 'dobby', 'ooh']
Dobby;But Dobby had to come. ;['but', 'dobby', 'had', 'to', 'come'];['but', 'dobby', 'had', 'to', 'come'];['dobby']
Dobby;Dobby has to protect Harry Potter- to warn him. ;['dobby', 'has', 'to', 'protect', 'harry', 'to', 'warn', 'him'];['dobby', 'ha', 'to', 'protect', 'harry', 'to', 'warn', 'him'];['dobby', 'protect', 'harry', 'warn']
Dobby;Harry Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year! ;['harry', 'potter', 'must', 'not', 'go', 'back', 'to', 'hogwarts', 'school', 'of', 'witchcraft', 'and', 'wizardry', 'this', 'year'];['harry', 'potter', 'must', 'not', 'go', 'back', 'to', 'hogwarts', 'school', 'of', 'witchcraft', 'and', 'wizardry', 'this', 'year'];['harry', 'potter', 'must', 'back', 'hogwarts', 'school', 'witchcraft', 'wizardry', 'year']
Dobby;There is a plot, a plot to make most terrible things happen.;['there', 'is', 'a', 'plot', 'a', 'plot', 'to', 'make', 'most', 'terrible', 'things', 'happen'];['there', 'is', 'a', 'plot', 'a', 'plot', 'to', 'make', 'most', 'terrible', 'thing', 'happen'];['plot', 'plot', 'make', 'terrible', 'thing', 'happen']
Harry;What terrible things? ;['what', 'terrible', 'things'];['what', 'terrible', 'thing'];['terrible', 'thing']
Harry;Who's plotting them?;['who', 'plotting', 'them'];['who', 'plotting', 'them'];['plotting']
Dobby;Ooo... er... can't... say... argh...;['ooo', 'er', 'ca', 'say', 'argh'];['ooo', 'er', 'ca', 'say', 'argh'];['ooo', 'er', 'ca', 'say', 'argh']
Harry;Ok I understand. You can't- say.;['ok', 'i', 'understand', 'you', 'say'];['ok', 'i', 'understand', 'you', 'say'];['ok', 'understand', 'say']
Dobby;Don't make me talk, I Errr...;['do', 'make', 'me', 'talk', 'i', 'errr'];['do', 'make', 'me', 'talk', 'i', 'errr'];['make', 'talk', 'errr']
Harry;Dobby! Dobby, put the lamp down.;['dobby', 'dobby', 'put', 'the', 'lamp', 'down'];['dobby', 'dobby', 'put', 'the', 'lamp', 'down'];['dobby', 'dobby', 'put', 'lamp']
Dobby;Bad Dobby.;['bad', 'dobby'];['bad', 'dobby'];['bad', 'dobby']
Harry;Give me the lamp! Dobby stop!;['give', 'me', 'the', 'lamp', 'dobby', 'stop'];['give', 'me', 'the', 'lamp', 'dobby', 'stop'];['give', 'lamp', 'dobby', 'stop']
Dobby;Let me go!;['let', 'me', 'go'];['let', 'me', 'go'];['let']
Harry;Get in there, and keep quiet!;['get', 'in', 'there', 'and', 'keep', 'quiet'];['get', 'in', 'there', 'and', 'keep', 'quiet'];['keep', 'quiet']
Uncle Vernon;What the devil are you doing up here?;['what', 'the', 'devil', 'are', 'you', 'doing', 'up', 'here'];['what', 'the', 'devil', 'are', 'you', 'doing', 'up', 'here'];['devil']
Harry;I- I was just;['i', 'was', 'just'];['i', 'wa', 'just'];[]
Uncle Vernon;You just ruined the punch line of my Japanese golfer joke!;['you', 'just', 'ruined', 'the', 'punch', 'line', 'of', 'my', 'japanese', 'golfer', 'joke'];['you', 'just', 'ruined', 'the', 'punch', 'line', 'of', 'my', 'japanese', 'golfer', 'joke'];['ruined', 'punch', 'line', 'japanese', 'golfer', 'joke']
Harry;Sorry.;['sorry'];['sorry'];['sorry']
Uncle Vernon;One more sound, and you'll wish you'd never been born, boy! ;['one', 'more', 'sound', 'and', 'you', 'wish', 'you', 'never', 'been', 'born', 'boy'];['one', 'more', 'sound', 'and', 'you', 'wish', 'you', 'never', 'been', 'born', 'boy'];['one', 'sound', 'wish', 'never', 'born', 'boy']
Uncle Vernon;And fix that door!;['and', 'fix', 'that', 'door'];['and', 'fix', 'that', 'door'];['fix', 'door']
Harry;Yes, sir... See why I've got to go back? ;['yes', 'sir', 'see', 'why', 'i', 'got', 'to', 'go', 'back'];['yes', 'sir', 'see', 'why', 'i', 'got', 'to', 'go', 'back'];['sir', 'back']
Harry;I don't belong here. ;['i', 'do', 'belong', 'here'];['i', 'do', 'belong', 'here'];['belong']
Harry;I belong in your world, at Hogwarts. ;['i', 'belong', 'in', 'your', 'world', 'at', 'hogwarts'];['i', 'belong', 'in', 'your', 'world', 'at', 'hogwarts'];['belong', 'world', 'hogwarts']
Harry;It's the only place I've got friends!;['it', 'the', 'only', 'place', 'i', 'got', 'friends'];['it', 'the', 'only', 'place', 'i', 'got', 'friend'];['place', 'friend']
Dobby;Friends who don't even write to Harry Potter?;['friends', 'who', 'do', 'even', 'write', 'to', 'harry', 'potter'];['friend', 'who', 'do', 'even', 'write', 'to', 'harry', 'potter'];['friend', 'even', 'write', 'harry', 'potter']
Harry;Well, I expect they've... been- hang on- ;['well', 'i', 'expect', 'they', 'hang'];['well', 'i', 'expect', 'they', 'hang'];['well', 'expect', 'hang']
Harry;how do you know my friends haven't been writing to me?;['how', 'do', 'you', 'know', 'my', 'friends', 'have', 'been', 'writing', 'to', 'me'];['how', 'do', 'you', 'know', 'my', 'friend', 'have', 'been', 'writing', 'to', 'me'];['friend', 'writing']
Dobby;Harry Potter mustn't be angry with Dobby. ;['harry', 'potter', 'must', 'be', 'angry', 'with', 'dobby'];['harry', 'potter', 'must', 'be', 'angry', 'with', 'dobby'];['harry', 'potter', 'must', 'angry', 'dobby']
Dobby;Heh- Dobby hoped, if Harry Potter thought his friends had forgotten him, Harry Potter might not want to go back to school, sir.;['dobby', 'hoped', 'if', 'harry', 'potter', 'thought', 'his', 'friends', 'had', 'forgotten', 'him', 'harry', 'potter', 'might', 'not', 'want', 'to', 'go', 'back', 'to', 'school', 'sir'];['dobby', 'hoped', 'if', 'harry', 'potter', 'thought', 'his', 'friend', 'had', 'forgotten', 'him', 'harry', 'potter', 'might', 'not', 'want', 'to', 'go', 'back', 'to', 'school', 'sir'];['dobby', 'hoped', 'harry', 'potter', 'thought', 'friend', 'forgotten', 'harry', 'potter', 'might', 'want', 'back', 'school', 'sir']
Harry;Give me those, now!;['give', 'me', 'those', 'now'];['give', 'me', 'those', 'now'];['give']
Dobby;No! Ahh! Ooh...;['no', 'ahh', 'ooh'];['no', 'ahh', 'ooh'];['ahh', 'ooh']
Harry;Dobby, get back here!;['dobby', 'get', 'back', 'here'];['dobby', 'get', 'back', 'here'];['dobby', 'back']
Harry;Dobby, please, no!;['dobby', 'please', 'no'];['dobby', 'please', 'no'];['dobby', 'please']
Dobby;Harry Potter must say he's not going back to school!;['harry', 'potter', 'must', 'say', 'he', 'not', 'going', 'back', 'to', 'school'];['harry', 'potter', 'must', 'say', 'he', 'not', 'going', 'back', 'to', 'school'];['harry', 'potter', 'must', 'say', 'going', 'back', 'school']
Harry;I can't. Hogwarts is my home!;['i', 'ca', 'hogwarts', 'is', 'my', 'home'];['i', 'ca', 'hogwarts', 'is', 'my', 'home'];['ca', 'hogwarts', 'home']
Dobby;Then, Dobby must do it, sir, for Harry Potter's own good. ;['then', 'dobby', 'must', 'do', 'it', 'sir', 'for', 'harry', 'potter', 'own', 'good'];['then', 'dobby', 'must', 'do', 'it', 'sir', 'for', 'harry', 'potter', 'own', 'good'];['dobby', 'must', 'sir', 'harry', 'potter', 'good']
Uncle Vernon;...it spread as far as the eye could see, all over the floor of this vast building, and it was this deep. ;['it', 'spread', 'as', 'far', 'as', 'the', 'eye', 'could', 'see', 'all', 'over', 'the', 'floor', 'of', 'this', 'vast', 'building', 'and', 'it', 'was', 'this', 'deep'];['it', 'spread', 'a', 'far', 'a', 'the', 'eye', 'could', 'see', 'all', 'over', 'the', 'floor', 'of', 'this', 'vast', 'building', 'and', 'it', 'wa', 'this', 'deep'];['spread', 'far', 'eye', 'could', 'floor', 'vast', 'building', 'deep']
Uncle Vernon;"And one plumber said ""Look at all that water."" ";['and', 'one', 'plumber', 'said', 'look', 'at', 'all', 'that', 'water'];['and', 'one', 'plumber', 'said', 'look', 'at', 'all', 'that', 'water'];['one', 'plumber', 'said', 'look', 'water']
Uncle Vernon;"A-and the second plumber said, ""Yes, and that's just the top of it!""";['the', 'second', 'plumber', 'said', 'yes', 'and', 'that', 'just', 'the', 'top', 'of', 'it'];['the', 'second', 'plumber', 'said', 'yes', 'and', 'that', 'just', 'the', 'top', 'of', 'it'];['second', 'plumber', 'said', 'top']
Uncle Vernon;I'm so sorry! It's my nephew- he's very disturbed. ;['i', 'so', 'sorry', 'it', 'my', 'he', 'very', 'disturbed'];['i', 'so', 'sorry', 'it', 'my', 'he', 'very', 'disturbed'];['sorry', 'disturbed']
Uncle Vernon;Meeting strangers upsets him. ;['meeting', 'strangers', 'upsets', 'him'];['meeting', 'stranger', 'upset', 'him'];['meeting', 'stranger', 'upset']
Uncle Vernon;That's why I kept him upstairs!;['that', 'why', 'i', 'kept', 'him', 'upstairs'];['that', 'why', 'i', 'kept', 'him', 'upstairs'];['kept', 'upstairs']
Uncle Vernon;You're never going back to that school. ;['you', 'never', 'going', 'back', 'to', 'that', 'school'];['you', 'never', 'going', 'back', 'to', 'that', 'school'];['never', 'going', 'back', 'school']
Uncle Vernon;You're never going to see those freaky friends of yours again. Never!;['you', 'never', 'going', 'to', 'see', 'those', 'freaky', 'friends', 'of', 'yours', 'again', 'never'];['you', 'never', 'going', 'to', 'see', 'those', 'freaky', 'friend', 'of', 'yours', 'again', 'never'];['never', 'going', 'freaky', 'friend', 'never']
Ron;Hi, Harry!;['hi', 'harry'];['hi', 'harry'];['hi', 'harry']
Harry;Ron! Fred. George. ;['ron', 'fred', 'george'];['ron', 'fred', 'george'];['ron', 'fred', 'george']
Harry;What are you all doing here?;['what', 'are', 'you', 'all', 'doing', 'here'];['what', 'are', 'you', 'all', 'doing', 'here'];[]
Ron;Rescuing you, of course. ;['rescuing', 'you', 'of', 'course'];['rescuing', 'you', 'of', 'course'];['rescuing', 'course']
Ron;Now, come on. Get your trunk!...;['now', 'come', 'on', 'get', 'your', 'trunk'];['now', 'come', 'on', 'get', 'your', 'trunk'];['trunk']
Ron;You'd better stand back. Let's go!;['you', 'better', 'stand', 'back', 'let', 'go'];['you', 'better', 'stand', 'back', 'let', 'go'];['better', 'stand', 'back', 'let']
Aunt Petunia;Oh!;['oh'];['oh'];['oh']
Uncle Vernon;Now, what the hell's he doing? Potter!;['now', 'what', 'the', 'hell', 'he', 'doing', 'potter'];['now', 'what', 'the', 'hell', 'he', 'doing', 'potter'];['hell', 'potter']
Dudley;Dad! What's going on?;['dad', 'what', 'going', 'on'];['dad', 'what', 'going', 'on'];['dad', 'going']
George;Go, go, go, go!;['go', 'go', 'go', 'go'];['go', 'go', 'go', 'go'];[]
Dudley;Dad, hurry up!;['dad', 'hurry', 'up'];['dad', 'hurry', 'up'];['dad', 'hurry']
Ron;Come on.;['come', 'on'];['come', 'on'];[]
Fred;Come on.;['come', 'on'];['come', 'on'];[]
Ron;Come on, Harry! Hurry up!;['come', 'on', 'harry', 'hurry', 'up'];['come', 'on', 'harry', 'hurry', 'up'];['harry', 'hurry']
Uncle Vernon;Petunia, he's escaping!;['petunia', 'he', 'escaping'];['petunia', 'he', 'escaping'];['petunia', 'escaping']
Harry;Ahh- ahh!;['ahh'];['ahh'];['ahh']
Ron;I've got you Harry!;['i', 'got', 'you', 'harry'];['i', 'got', 'you', 'harry'];['harry']
Uncle Vernon;Come here!;['come', 'here'];['come', 'here'];[]
Harry;Let go of me!;['let', 'go', 'of', 'me'];['let', 'go', 'of', 'me'];['let']
Uncle Vernon;Oh no, boy! You and that bloody pigeon aren't going anywhere!;['oh', 'no', 'boy', 'you', 'and', 'that', 'bloody', 'pigeon', 'are', 'going', 'anywhere'];['oh', 'no', 'boy', 'you', 'and', 'that', 'bloody', 'pigeon', 'are', 'going', 'anywhere'];['oh', 'boy', 'bloody', 'pigeon', 'going', 'anywhere']
Harry;Get off!;['get', 'off'];['get', 'off'];[]
Ron;Drive!;['drive'];['drive'];['drive']
Fred;Right.;['right'];['right'];['right']
George;Right!;['right'];['right'];['right']
Uncle Vernon;No! No! No! No! Aaaah!;['no', 'no', 'no', 'no', 'aaaah'];['no', 'no', 'no', 'no', 'aaaah'];['aaaah']
Aunt Petunia & Dudley;Aaah!;['aaah'];['aaah'];['aaah']
Dudley;Dad!;['dad'];['dad'];['dad']
Uncle Vernon;Oh... Damn.;['oh', 'damn'];['oh', 'damn'];['oh', 'damn']
Ron;By the way, Harry, Happy Birthday!;['by', 'the', 'way', 'harry', 'happy', 'birthday'];['by', 'the', 'way', 'harry', 'happy', 'birthday'];['way', 'harry', 'happy', 'birthday']
Fred;Come on. Okay, come on. Shh! ;['come', 'on', 'okay', 'come', 'on', 'shh'];['come', 'on', 'okay', 'come', 'on', 'shh'];['okay', 'shh']
Fred;Shh! Ok, come on. Shh! Come on.;['shh', 'ok', 'come', 'on', 'shh', 'come', 'on'];['shh', 'ok', 'come', 'on', 'shh', 'come', 'on'];['shh', 'ok', 'shh']
Ron;Do you think it'd be all right if we had some of this?;['do', 'you', 'think', 'it', 'be', 'all', 'right', 'if', 'we', 'had', 'some', 'of', 'this'];['do', 'you', 'think', 'it', 'be', 'all', 'right', 'if', 'we', 'had', 'some', 'of', 'this'];['think', 'right']
George;Yeah, Mum would never know.;['yeah', 'mum', 'would', 'never', 'know'];['yeah', 'mum', 'would', 'never', 'know'];['yeah', 'mum', 'would', 'never']
Ron;It's not much, but it's home.;['it', 'not', 'much', 'but', 'it', 'home'];['it', 'not', 'much', 'but', 'it', 'home'];['much', 'home']
Harry;I think it's brilliant;['i', 'think', 'it', 'brilliant'];['i', 'think', 'it', 'brilliant'];['think', 'brilliant']
Mrs. Weasley;Where have you been? ;['where', 'have', 'you', 'been'];['where', 'have', 'you', 'been'];[]
Mrs. Weasley;Harry, how wonderful to see you dear. ;['harry', 'how', 'wonderful', 'to', 'see', 'you', 'dear'];['harry', 'how', 'wonderful', 'to', 'see', 'you', 'dear'];['harry', 'wonderful', 'dear']
Mrs. Weasley;Beds empty! No note! Car gone!;['beds', 'empty', 'no', 'note', 'car', 'gone'];['bed', 'empty', 'no', 'note', 'car', 'gone'];['bed', 'empty', 'note', 'car', 'gone']
Mrs. Weasley;You could have died! You could have been seen! ;['you', 'could', 'have', 'died', 'you', 'could', 'have', 'been', 'seen'];['you', 'could', 'have', 'died', 'you', 'could', 'have', 'been', 'seen'];['could', 'died', 'could', 'seen']
Mrs. Weasley;Of course, I don't blame you, Harry dear.;['of', 'course', 'i', 'do', 'blame', 'you', 'harry', 'dear'];['of', 'course', 'i', 'do', 'blame', 'you', 'harry', 'dear'];['course', 'blame', 'harry', 'dear']
