Character;speech
snape;seen, le, seven, muggles, idea, serious, risked, exposure, world, mention, damage, inflicted, whomping, willow, ground, since, born, silence, assure, slytherin, fate, rested, would, train, home, tonight, headmaster, boy, flouted, decree, restriction, underage, wizardry, might, headmaster, perhaps, potter, friend, wrong, place, wrong, time, however, circumstance, suspicious, one, recall, seeing, potter, dinner, miss, granger, expelliarmus, perhaps, would, prudent, first, teach, student, block, unfriendly, spell, professor, weasley, wand, cause, devastation, simplest, spell, sending, potter, hospital, wing, matchbox, might, suggest, someone, house, malfoy, perhaps, move, potter, rid, vipera, evanesca, girl, snatched, monster, lockhart, moment, last, saying, last, night, known, along, entrance, chamber, secret, foolish, silly, incantation, class, expect, many, appreciate, subtle, science, exact, art, however, select, posse, predisposition, teach, bewitch, mind, ensnare, sens, tell, bottle, fame, brew, glory, even, put, stopper, death, maybe, hogwarts, possession, ability, formidable, feel, confident, enough, pay, attention, potter, new, celebrity, tell, would, added, powdered, root, asphodel, infusion, wormwood, well, let, try, mr, potter, would, look, asked, find, bezoar, difference, monkshood, wolfsbane, pity, clearly, fame, everything, potter, silence, put, hand, silly, girl, information, potter, asphodel, wormwood, make, sleeping, potion, powerful, known, draught, living, dead, bezoar, stone, taken, stomach, goat, save, poison, monkshood, wolfsbane, plant, also, name, aconite, well, copying, gryffindors, note, five, point, taken, house, classmate, cheek, good, luck, today, potter, proven, troll, little, game, quidditch, easy, work, even, slytherin, oh, want, enemy, quirrell, perfectly, well, mean, another, chat, soon, time, decide, loyalty, lie, good, afternoon, would, three, young, gryffindors, inside, day, like, want, careful, people, think, something
fat lady;password
lee jordan;another, goal, slytherin, lead, gryffindor, harry, potter, caught, snitch, gryffindor, win, hello, welcome, hogwarts, first, quidditch, game, season, today, game, slytherin, versus, gryffindor, player, take, position, madam, hooch, step, onto, field, begin, game, bludgers, followed, golden, snitch, remember, snitch, worth, point, seeker, catch, snitch, end, game, quaffle, released, game, begin, angelina, johnson, score, point, gryffindor, slytherin, take, possession, quaffle, bletchley, pass, captain, marcus, flint, another, point, gryffindor
woman;anything, trolley, dear
girl;look, bloody, baron, oh, look, look, girl, right, hufflepuff, way
hagrid;harry, think, mess, harry, skulking, around, knockturn, alley, dodgy, place, want, one, people, think, good, looking, slug, repellent, ruining, school, cabbage, hello, hermione, right, harry, right, leave, call, specialist, equipment, nothing, wait, till, stop, afraid, okay, better, ron, trying, curse, anyway, thing, harry, wizard, like, malfoy, family, think, better, everyone, else, codswallop, boot, dirty, blood, wizard, alive, today, le, point, yet, think, spell, hermione, ca, think, hermione, think, one, minute, blimey, harry, rogue, bludger, tampered, broken, bone, left, professor, dumbledore, sir, wait, listen, professor, dumbledore, sir, harry, prepared, swear, front, ministry, magic, course, ohh, oww, right, well, wait, outside, let, ca, understand, aragog, never, killed, one, never, aragog, aragog, mad, hairy, would, talking, would, slug, repellent, mandrake, according, professor, sprout, still, bit, growing, acne, cleared, chop, stew, people, hospital, meantime, though, three, best, looking, right, hello, neville, hello, hello, nothing, expecting, doe, matter, made, pot, tea, fine, right, oh, yeah, heard, right, understand, quick, cloak, say, word, quiet, professor, dumbledore, sir, course, never, never, professor, take, take, azkaban, prison, house, ca, take, professor, dumbledore, away, take, away, wo, stand, chance, mark, word, killing, next, well, anybody, looking, stuff, would, follow, spider, yep, would, lead, right, say, someone, need, feed, fang, away, sorry, late, owl, delivered, release, paper, lost, confused, ruddy, bird, called, errol, like, say, harry, ron, hermione, course, would, still, like, say, thanks, professor, dumbledore, sir, professor, mcgonagall, sir, little, tyke, fell, asleep, flying, bristol, try, wake, sorry, dry, dursley, great, prune, mind, seen, since, baby, harry, bit, along, would, expected, particularly, middle, well, course, something, afraid, might, sat, somepoint, imagine, taste, fine, baked, word, every, day, young, man, turn, rubeus, hagrid, keeper, key, ground, hogwarts, course, hogwarts, blimey, harry, ever, wonder, mum, dad, learned, wizard, harry, wizard, thumping, good, one, wager, trained, little, well, harry, ever, make, anything, happen, anything, could, explain, angry, scared, car, crash, car, crash, killed, lily, james, potter, outrage, scandal, oh, suppose, great, muggle, like, going, stop, folk, boy, name, ever, since, born, going, finest, school, witchcraft, wizardry, world, finest, headmaster, hogwarts, ever, seen, albus, dumbledore, never, insult, albus, dumbledore, front, oh, um, appreciate, tell, anyone, hogwarts, strickly, speaking, allowed, magic, ooh, bit, behind, schedule, best, unless, rather, stay, course, essential, bit, equipment, harry, mean, penguin, crikey, love, dragon, vastly, misunderstood, beast, harry, vastly, misunderstood, thanks, tom, official, hogwarts, business, helping, young, harry, buy, school, supply, hello, professor, harry, professor, quirrell, defense, dark, art, teacher, hogwarts, well, must, going, lot, buy, harry, famous, sure, exactly, right, person, tell, harry, welcome, harry, diagon, alley, quill, ink, bit, bob, wizardry, well, money, harry, gringotts, wizard, bank, ai, safer, place, one, except, perhaps, hogwarts, goblin, harry, clever, goblin, friendly, beast, best, stay, close, harry, potter, wish, make, withdrawal, oh, wait, minute, somewhere, little, devil, oh, something, else, well, professor, dumbledore, gave, vault, think, mum, dad, leave, nothing, ya, ca, tell, harry, hogwarts, business, secret, best, mention, anyone, harry, wand, well, want, ollivanders, ai, place, better, run, along, wait, one, thing, ta, wo, long, harry, harry, happy, birthday, right, harry, seem, quiet, first, understand, harry, important, wizard, good, bad, year, ago, one, wizard, went, bad, name, v, name, v, ca, spell, right, voldemort, dark, time, harry, dark, time, voldemort, started, gather, follower, brought, dark, side, anyone, stood, ended, dead, parent, fought, nobody, lived, decided, kill, nobody, one, except, ai, ordinary, cut, forehead, harry, mark, like, touched, curse, evil, curse, well, say, died, codswallop, opinion, nope, reckon, still, tired, carry, one, thing, absolutely, certain, something, stumped, night, famous, everybody, name, boy, lived, looking, blimey, time, sorry, harry, gon, na, leave, dumbledore, wanting, well, wanting, uh, train, leaf, minute, ticket, stick, harry, important, stick, ticket, right, first, year, way, please, first, year, shy, hurry, hello, harry, right, way, boat, follow, well, done, going, harry, broomstick, look, like, gon, na, sick, nonsense, would, snape, put, curse, harry, broom, told, fluffy, well, course, name, mine, bought, irish, feller, met, pub, last, year, lent, dumbledore, guard, said, question, ask, question, top, secret, codswallop, professor, snape, hogwarts, teacher, listen, three, meddlin, thing, ought, meddled, dangerous, dog, guarding, strictly, professor, dumbledore, nicholas, flamel, said, said, said, oh, hello, sorry, wish, rude, fit, state, entertain, today, oh, snape, blimey, harry, still, snape, one, teacher, protecting, stone, steal, heard, right, bit, preoccupied, today, right, waste, bloody, time, ask, ai, one, gon, na, past, fluffy, hehe, soul, except, dumbledore, told, told, oh, ooh, ooh, ooh, ooh, um, stranger, met, pub, seemed, quite, glad, rid, matter, fact, beautiful, oh, bless, look, mummy, hehe, hallo, norbert, yeah, well, name, doe, norbert, dededede, ohh, oooh, ooh, ooh, well, trained, bit, course, oh, dear, norbert, gone, dumbledore, sent, romania, live, colony, yeah, like, romania, dragon, mean, baby, right, let, unicorn, blood, found, one, dead, week, ago, one, injured, bad, something, job, find, poor, beast, ron, hermione, harry, malfoy, fine, bloody, coward, hello, firenze, met, young, potter, right, harry, never, saw, face, kept, hood, well, wanted, sort, creature, looked, told, said, fluffy, dragon, gon, na, problem, well, course, interested, fluffy, often, across, three, headed, dog, even, trade, told, said, trick, beast, calm, take, fluffy, example, play, bit, music, fall, straight, sleep, told, going, wait, hurry, late, train, leaving, hurry, thought, leaving, without, saying, didja, oh, oh, listen, harry, dolt, cousin, dudley, give, grief, could, always, um, threaten, nice, pair, ear, tail, cousin, eh
cornish pixies;stay
student;welcome, back, sir, nicholas, good, evening, sir, nicholas, good, sir, nicholas
harry;ca, let, hedwig, allowed, use, magic, outside, school, besides, uncle, vernon, done, bored, could, let, hour, two, message, friend, one, summer, bedroom, making, noise, pretending, exist, rude, anything, great, time, house, elf, bedroom, sit, dobby, ssh, sorry, mean, offend, anything, ca, met, many, decent, wizard, stop, dobby, dobby, shh, dobby, please, stop, stop, stop, dobby, please, quiet, right, family, terrible, thing, plotting, ok, understand, say, dobby, dobby, put, lamp, give, lamp, dobby, stop, keep, quiet, sorry, sir, back, belong, belong, world, hogwarts, place, friend, well, expect, hang, friend, writing, give, dobby, back, dobby, please, ca, hogwarts, home, ron, fred, george, ahh, let, think, brilliant, hello, raid, oh, sorry, sir, harry, sir, harry, potter, oh, umm, floo, powder, diagonally, fine, thank, going, please, hagrid, lost, hang, great, definitely, need, remember, one, thank, bye, voldemort, killed, parent, nothing, murderer, let, sorry, lost, control, trolley, ca, train, leaf, exactly, missed, maybe, wait, car, ron, tell, muggles, accustomed, seeing, flying, car, let, lower, need, find, train, need, catch, train, hear, hold, trying, hand, sweaty, think, found, train, ron, mind, tree, thankful, neck, fast, hedwig, show, bedroom, ca, barrier, platform, almost, killed, tree, clearly, someone, doe, want, year, professor, dumbledore, professor, mcgonagall, doomed, hi, colin, nice, meet, stop, hold, still, malfoy, colin, way, let, take, hagrid, malfoy, called, hermione, well, exactly, mean, mudblood, horrible, really, voice, hear, spooky, hear, voice, heard, first, lockhart, office, moving, think, going, kill, strange, never, seen, spider, act, like, oh, filch, cat, norris, true, sir, swear, never, touched, norris, said, hungry, heading, back, common, room, found, norris, strange, think, told, dumbledore, others, mean, really, chamber, secret, opened, mean, maybe, ron, right, hermione, mean, look, family, whole, lot, slytherin, century, long, take, make, month, hermione, malfoy, heir, slytherin, could, attack, half, school, wood, look, thank, think, arm, broken, dobby, stopped, barrier, letting, ron, nearly, ron, expelled, bludger, made, bludger, chase, better, clear, bone, back, dobby, might, strangle, suppose, could, tell, trying, kill, wear, thing, dobby, repeat, mean, happened, stop, stop, dobby, tell, dobby, happen, dobby, tell, thank, sir, wish, rictusempra, accidentally, set, python, cousin, dudley, zoo, bet, load, people, bad, told, snake, attack, justin, heard, spoke, different, language, realize, speak, language, without, knowing, ca, back, common, room, filch, understand, professor, swear, professor, dumbledore, wondering, put, right, house, wrong, professor, bird, nothing, could, caught, fire, think, professor, sir, nothing, crabbe, goyle, ron, maybe, wingardium, leviosa, let, ron, still, sound, like, need, sound, like, crabbe, excellent, hermione, okay, think, slytherin, common, room, way, um, reading, wrong, harry, potter, must, idea, behind, stomachache, calm, hair, hermione, load, tell, hermione, okay, hospital, day, stop, coughing, fur, ball, look, like, moaning, myrtle, flooded, bathroom, would, throw, something, threw, anyway, tom, marvolo, riddle, name, harry, potter, anything, chamber, secret, tell, excuse, could, tell, going, tom, riddle, hello, hear, dumbledore, hagrid, haagriiid, wow, hagrid, hagrid, opened, chamber, secret, year, ago, monster, killed, somebody, ron, would, u, done, hagrid, found, tom, riddle, diary, gone, talk, hagrid, ron, ca, believe, set, monster, loose, last, time, inside, chamber, secret, start, think, time, dad, old, cloak, hagrid, okay, hear, hermione, look, ask, something, opened, chamber, secret, look, fang, heard, hagrid, said, follow, spider, shush, panic, friend, hagrid, aragog, trouble, school, attack, think, hagrid, think, opened, chamber, secret, like, monster, monster, kill, girl, year, ago, seen, well, thank, one, powerful, enough, let, arania, exumai, arania, exumai, mention, u, move, faster, u, air, pull, one, thing, hagrid, never, opened, chamber, secret, innocent, wish, hermione, need, ever, ron, hermione, library, day, attacked, many, fearsome, beast, roam, land, none, deadly, basilisk, capable, living, hundred, year, instant, death, awaits, meet, giant, serpent, eye, spider, flee, ron, monster, chamber, secret, basilisk, hear, speak, snake, one, look, eye, directly, least, colin, saw, camera, justin, justin, must, seen, basilisk, nearly, headless, nick, nick, full, blast, ghost, could, die, hermione, mirror, bet, using, look, around, corner, case, came, along, water, water, floor, night, saw, basilisk, reflection, spider, flee, fit, hermione, answered, remember, aragog, said, girl, year, ago, died, bathroom, never, left, lockhart, may, useless, going, try, chamber, least, tell, professor, information, going, somewhere, running, away, book, wrote, fraud, taking, credit, wizard, done, even, think, ask, died, myrtle, like, ron, think, entrance, chamber, secret, first, right, let, thanks, myrtle, remember, sign, movement, close, eye, straightaway, way, snake, skin, ron, ron, okay, wait, try, shift, rock, back, find, ginny, ginny, ginny, please, dead, wake, wake, please, wake, tom, tom, riddle, mean, wo, wake, ghost, cold, ice, ginny, please, dead, wake, help, tom, basilisk, give, wand, tom, save, could, would, want, meet, hagrid, friend, framed, bet, dumbledore, saw, right, well, finished, time, hour, mandrake, draught, ready, everyone, petrified, right, care, escaped, voldemort, time, heir, slytherin, voldemort, albus, dumbledore, greatest, sorcerer, world, never, gone, long, remain, loyal, fawkes, ginny, ginny, worry, ginny, need, follow, chamber, find, ron, brilliant, fawkes, quick, enough, course, phoenix, tear, healing, power, thanks, right, ginny, memory, sir, could, help, notice, certain, thing, certain, certain, similarity, tom, riddle, voldemort, transferred, power, sorting, hat, right, slytherin, asked, godric, gryffindor, dobby, master, family, serve, malfoys, worry, sir, wonder, could, malfoy, malfoy, something, think, sir, think, slipped, diary, ginny, weasley, cauldron, day, diagon, alley, open, promise, something, never, try, save, life, load, help, could, done, without, hogwarts, without, hagrid, aunt, petunia, uncle, vernon, asleep, sorry, doe, understand, like, lying, day, day, watching, people, press, ugly, face, hear, never, talked, snake, mean, talk, people, often, burma, nice, miss, family, well, never, knew, parent, either, mummy, dad, anytime, swear, one, minute, glass, gone, like, magic, wear, dudley, old, uniform, fit, like, bit, old, elephant, skin, hey, give, back, mine, post, sunday, letter, let, make, wish, harry, thank, excuse, sorry, learnt, made, mistake, mean, l, ca, wizard, mean, harry, harry, dear, potter, pleased, inform, accepted, hogwarts, school, witchcraft, wizardry, knew, knew, along, never, told, blown, told, parent, died, car, crash, muggle, okay, first, year, student, require, three, set, plain, work, robe, one, wand, one, pair, dragon, hide, glove, hagrid, mean, real, dragon, like, dragon, student, must, equipped, one, standard, size, pewter, cauldron, may, bring, desire, either, owl, cat, toad, find, london, oh, nice, meet, goodbye, famous, hagrid, people, back, hagrid, pay, money, hagrid, exactly, thing, hagrid, still, need, wand, hello, hello, sorry, curious, owned, wand, killed, parent, one, gave, hagrid, maybe, wrote, voldemort, voldemort, tried, kill, happened, v, platform, hagrid, must, mistake, say, platform, thing, excuse, excuse, excuse, sir, tell, might, find, platform, muggles, excuse, could, tell, harry, harry, potter, take, lot, bertie, bott, every, flavor, bean, real, frog, dumbledore, hey, gone, little, bit, yeah, hey, hagrid, think, tell, wrong, sort, thanks, nothing, nothing, fine, slytherin, slytherin, say, percy, teacher, talking, professor, quirrell, teach, think, fancy, lost, sir, sir, clearly, hermione, seems, pity, ask, seamus, trying, glass, water, borrow, thanks, hey, ron, somebody, broke, gringotts, listen, believed, work, dark, wizard, witch, unknown, gringotts, goblin, acknowledging, breach, insist, nothing, taken, vault, question, number, fact, emptied, earlier, day, odd, vault, hagrid, went, give, malfoy, give, knock, broom, century, according, mcgonagall, never, even, played, quidditch, make, fool, doe, happening, let, way, let, run, quick, let, hide, door, locked, good, reason, guarding, something, think, like, ball, whoa, think, going, need, another, feather, professor, think, heard, hermione, could, troll, hermione, doe, going, girl, bathroom, hermione, move, whooa, whoa, whoa, something, anything, hurry, think, knocked, ew, troll, bogy, good, u, trouble, like, mind, might, needed, saving, insulted, hungry, explains, blood, listen, last, night, guessing, snape, let, troll, diversion, could, try, past, headed, dog, bitten, limping, day, gringotts, hagrid, took, something, one, vault, said, hogwarts, business, secret, dog, guarding, snape, want, never, mail, broomstick, little, happened, whoa, whoa, whooa, trying, past, headed, dog, halloween, hagrid, whatever, fluffy, guarding, snape, trying, steal, exactly, nicholas, flamel, nicholas, flamel, nicholas, flamel, knight, happy, christmas, ron, wearing, present, oh, father, left, possession, died, time, returned, use, well, kind, cloak, body, gone, invisible, name, said, use, well, famous, fire, eater, century, fiend, flamel, nicholas, flamel, mum, dad, ron, really, ron, ron, ron, bed, something, look, parent, look, properly, stand, thats, dad, parent, dead, show, u, want, whatever, want, malfoy, found, knew, name, sound, familiar, read, train, day, shh, hagrid, think, snape, trying, steal, hagrid, stone, wait, minute, one, teacher, uh, hagrid, exactly, norbert, malfoy, hagrid, always, wanted, dragon, told, first, time, met, understand, hagrid, better, draco, say, scared, fang, thing, saved, would, choose, life, mean, say, thing, killed, unicorn, drinking, blood, voldemort, sorcerer, stone, weak, living, unicorn, wrong, snape, doe, want, stone, want, stone, voldemort, elixir, life, voldemort, strong, back, think, chance, might, tried, kill, tonight, scar, keep, burning, like, think, warning, mean, danger, coming, uhh, oh, course, think, bit, odd, hagrid, want, anything, dragon, stranger, show, happens, one, mean, many, people, wander, around, dragon, egg, pocket, hagrid, gave, dragon, egg, look, like, stranger, though, must, talked, seem, interested, fluffy, professor, dumbledore, immediately, gone, important, sorcerer, stone, someone, going, try, steal, stranger, hagrid, met, village, snape, mean, past, fluffy, trapdoor, tonight, trevor, neville, listen, let, sorry, snoring, snape, already, put, spell, harp, move, paw, okay, push, first, follow, give, sign, something, bad, happens, doe, seem, bit, quiet, jump, whoa, oh, ahh, hermione, yeah, yeah, fine, apparently, ron, okay, okay, lucky, hermione, pay, attention, herbology, sound, like, wing, bird, key, bet, one, fit, door, strange, one, broken, wing, simple, catch, key, graveyard, door, wait, minute, ron, going, sacrifice, ron, move, dont, forget, still, playing, checkmate, take, care, ron, owlery, send, message, dumbledore, ron, right, good, ca, snape, one, day, quidditch, match, snape, tried, kill, snape, trying, save, let, troll, shaking, hand, dumbledore, house, cup, voldemort, never, liar, ahhhhhhhhh, admirer, ron, right, hermione, happened, stone, flamel, die, wo, stone, sir, one, minute, staring, mirror, next, doe, mean, stone, gone, mean, voldemort, never, back, right, ron, right, hermione, good, job, one, minute, thanks, hagrid, hagrid, allowed, magic, away, hogwarts, going, home, really
students;whoo, yeah
colin;hi, harry, colin, creevey, gryffindor, wow, turn, around, harry
lockhart;ca, harry, potter, nice, big, smile, harry, together, rate, front, page, lady, gentleman, extraordinary, moment, young, harry, stepped, flourish, blotts, morning, purchase, autobiography, magical, incidentally, currently, celebrating, week, atop, daily, prophet, bestseller, list, idea, would, fact, leaving, entire, collected, work, free, charge, lady
madam pomfrey;malfoy, stop, making, fuss, way, brought, straight, mend, bone, heartbeat, growing, back, able, certainly, painful, rough, night, potter, regrowing, bone, nasty, business, expect, pumpkin, juice, put, happened, monster, taken, minerva
barkeeper tom;ah, hagrid, usual, presume, bless, soul, harry, potter
professor sprout;morning, everyone, good, morning, professor, sprout, welcome, greenhouse, three, second, year, today, mandrake, tell, property, mandrake, miss, granger, excellent, ten, point, gryffindor, mandrake, still, seedling, cry, wo, kill, yet, could, knock, hour, given, earmuff, auditory, protection, could, please, put, right, away, quickly, flap, tight, watch, closely, grasp, mandrake, firmly, pull, sharply, pot, dunk, pot, pour, little, sprinkling, soil, keep, warm, longbottom, neglecting, earmuff, well, leave, right, plenty, pot, around, grasp, mandrake, pull
mr. weasley;morning, weasleys, night, nine, raid, nine, well, aah, good, lord, really, well, ron, told, u, course, really, mean, wrong, indeed, boy, wrong, harry, must, muggles, tell, exactly, function, rubber, duck, dumbledore, must, harry, doe, miss, trick, man, diagonally, child, mad, let, outside, lucius, different, idea, disgrace, name, wizard, malfoy, fred, george, percy, first, dear
fred;morning, dad
george;morning, dad
ron;morning, dad
quirrell;harry, potter, ca, tell, pleased, meet, fearfully, fascinating, subject, need, eh, potter, oh, course, troll, dungeon, dungeon, thought, ought, perhaps, ought, wake, hehe, severus, thought, doe, seem, type, doe, next, would, suspect, professor, quirrell, dear, boy, tried, kill, trust, snape, cloak, caught, fire, broken, eye, contact, would, succeeded, even, snape, muttering, little, knew, danger, right, especially, halloween, good, potter, snape, unfortunately, fooled, everyone, else, running, dungeon, went, floor, head, course, never, trusted, rarely, left, alone, doe, understand, never, alone, never, doe, mirror, desire, holding, stone, potter, tell, tell, truth, master, strong, enough, ahh, ahh, magic, ahhhhhhhhhh
aunt petunia;aaah
dudley;aaah
voldemort;use, boy, lie, let, speak, strength, enough, harry, potter, meet, become, must, survive, live, another, mere, parasite, unicorn, blood, sustain, give, body, something, something, conveniently, enough, lie, pocket, stop, fool, suffer, horrific, death, join, live, haha, bravery, parent, tell, harry, would, like, mother, father, together, bring, back, ask, something, return, harry, good, evil, power, weak, seek, together, extraordinary, thing, give, stone, kill, fool, stone, arrrhhhhhh
